,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,친환경
17,휘발유,소계,계,1619511.0,672457.0,568233.0,783305.0,300184.0,330324.0,283679.0,83335.0,2831566.0,338753.0,372725.0,489573.0,381706.0,402955.0,621575.0,820593.0,253083.0,11153557.0,비친환경
34,경유,소계,계,1114455.0,560548.0,468325.0,676627.0,272881.0,257623.0,227364.0,63497.0,2407106.0,370171.0,382144.0,521381.0,435453.0,529390.0,668411.0,737631.0,251428.0,9944435.0,비친환경
51,엘피지,소계,계,266755.0,119393.0,113859.0,136456.0,87820.0,69483.0,37864.0,12233.0,413463.0,60538.0,69783.0,86929.0,94372.0,105523.0,127499.0,138313.0,63258.0,2003541.0,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,비친환경
85,전기,소계,계,18098.0,3936.0,12160.0,3402.0,2745.0,3001.0,1774.0,1030.0,14876.0,2839.0,3077.0,3701.0,2561.0,4125.0,4818.0,4568.0,19388.0,106099.0,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,비친환경
136,CNG,소계,계,9398.0,2947.0,2581.0,2744.0,1391.0,1660.0,825.0,161.0,9250.0,742.0,734.0,590.0,1040.0,1042.0,1136.0,1698.0,7.0,37946.0,비친환경
153,LNG,소계,계,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,비친환경
170,하이브리드(휘발유+전기),소계,계,95844.0,30122.0,27301.0,44565.0,13746.0,13823.0,10873.0,5939.0,149851.0,14383.0,14652.0,18679.0,15237.0,15997.0,21993.0,28936.0,13261.0,535202.0,친환경
187,하이브리드(경유+전기),소계,계,274.0,262.0,161.0,591.0,31.0,32.0,18.0,7.0,277.0,24.0,129.0,39.0,59.0,34.0,21.0,80.0,33.0,2072.0,친환경
204,하이브리드(LPG+전기),소계,계,1873.0,819.0,957.0,798.0,690.0,552.0,519.0,173.0,3960.0,703.0,719.0,775.0,843.0,902.0,1072.0,1090.0,334.0,16779.0,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,친환경
255,수소,소계,계,1078.0,752.0,9.0,340.0,478.0,285.0,1516.0,39.0,1064.0,382.0,115.0,333.0,136.0,21.0,11.0,755.0,0.0,7314.0,친환경
272,기타연료,소계,계,6016.0,15166.0,3619.0,11915.0,3247.0,3084.0,4731.0,791.0,23161.0,3373.0,5391.0,7556.0,4374.0,8588.0,9228.0,7830.0,729.0,118799.0,비친환경
289,총계,소계,계,3133353.0,1406405.0,1197218.0,1660785.0,683239.0,679867.0,569209.0,167232.0,5854653.0,791908.0,849472.0,1129557.0,935790.0,1068577.0,1455796.0,1741496.0,601521.0,23926078.0,비친환경
