,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,year_month,친환경
17,휘발유,소계,계,1609709.0,663949.0,562205.0,764837.0,296443.0,326015.0,280929.0,81624.0,2776292.0,333513.0,364725.0,481775.0,376381.0,397034.0,616832.0,808648.0,249045.0,10989956.0,2020_01,비친환경
34,경유,소계,계,1122681.0,563216.0,471012.0,678799.0,273494.0,259449.0,228705.0,63214.0,2404009.0,370048.0,382296.0,523973.0,438902.0,530037.0,669065.0,738877.0,253643.0,9971420.0,2020_01,비친환경
51,엘피지,소계,계,271250.0,119385.0,114472.0,135613.0,86958.0,69189.0,38112.0,12221.0,411812.0,60544.0,69429.0,86422.0,93762.0,105486.0,127846.0,137952.0,65536.0,2005989.0,2020_01,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2020_01,비친환경
85,전기,소계,계,15353.0,3223.0,11274.0,2660.0,2479.0,2618.0,1441.0,911.0,11809.0,2448.0,2427.0,2848.0,1872.0,3326.0,4071.0,3634.0,18307.0,90701.0,2020_01,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020_01,비친환경
136,CNG,소계,계,9429.0,2959.0,2617.0,2764.0,1408.0,1672.0,821.0,160.0,9153.0,764.0,732.0,595.0,1054.0,1049.0,1153.0,1696.0,10.0,38036.0,2020_01,비친환경
153,LNG,소계,계,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2020_01,비친환경
170,하이브리드(휘발유+전기),소계,계,90618.0,27707.0,25354.0,39937.0,12779.0,12600.0,10010.0,5412.0,138782.0,13421.0,13531.0,17366.0,14173.0,14520.0,20663.0,26295.0,12336.0,495504.0,2020_01,친환경
187,하이브리드(경유+전기),소계,계,100.0,154.0,108.0,103.0,9.0,12.0,5.0,1.0,106.0,8.0,9.0,7.0,17.0,14.0,4.0,22.0,13.0,692.0,2020_01,친환경
204,하이브리드(LPG+전기),소계,계,1907.0,833.0,964.0,791.0,705.0,556.0,537.0,182.0,3989.0,716.0,729.0,791.0,817.0,911.0,1088.0,1105.0,325.0,16946.0,2020_01,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,2020_01,친환경
255,수소,소계,계,603.0,552.0,5.0,242.0,488.0,206.0,1338.0,18.0,596.0,141.0,103.0,283.0,9.0,3.0,8.0,571.0,1.0,5167.0,2020_01,친환경
272,기타연료,소계,계,5865.0,15077.0,3465.0,11652.0,3144.0,2948.0,4651.0,729.0,22436.0,3205.0,5207.0,7288.0,4235.0,8399.0,8999.0,7525.0,716.0,115541.0,2020_01,비친환경
289,총계,소계,계,3127566.0,1397058.0,1191489.0,1637440.0,677933.0,675265.0,566595.0,164499.0,5779063.0,784808.0,839191.0,1121349.0,931231.0,1060779.0,1449761.0,1726327.0,599932.0,23730286.0,2020_01,비친환경
17,휘발유,소계,계,1609120.0,664806.0,562290.0,765341.0,296653.0,326012.0,280888.0,82156.0,2782466.0,334004.0,365807.0,482608.0,376497.0,397667.0,617240.0,810545.0,250327.0,11004427.0,2020_02,비친환경
34,경유,소계,계,1119056.0,563455.0,471196.0,676256.0,273630.0,259658.0,228751.0,63514.0,2396705.0,370424.0,382567.0,524682.0,439673.0,530068.0,670060.0,739943.0,253926.0,9963564.0,2020_02,비친환경
51,엘피지,소계,계,270098.0,119342.0,114163.0,135119.0,86974.0,69267.0,38019.0,12265.0,411839.0,60535.0,69398.0,86493.0,93688.0,105338.0,127684.0,138002.0,65562.0,2003786.0,2020_02,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2020_02,비친환경
85,전기,소계,계,16438.0,3270.0,11275.0,2791.0,2489.0,2625.0,1464.0,933.0,12510.0,2459.0,2457.0,2928.0,1920.0,3346.0,4161.0,3822.0,18684.0,93572.0,2020_02,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020_02,비친환경
136,CNG,소계,계,9449.0,2956.0,2618.0,2766.0,1400.0,1673.0,821.0,160.0,9160.0,752.0,736.0,594.0,1048.0,1049.0,1144.0,1696.0,10.0,38032.0,2020_02,비친환경
153,LNG,소계,계,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2020_02,비친환경
170,하이브리드(휘발유+전기),소계,계,91267.0,28043.0,25559.0,40373.0,12892.0,12708.0,10075.0,5480.0,140138.0,13519.0,13653.0,17483.0,14267.0,14822.0,20826.0,26571.0,12549.0,500225.0,2020_02,친환경
187,하이브리드(경유+전기),소계,계,108.0,165.0,119.0,115.0,10.0,11.0,6.0,1.0,122.0,9.0,9.0,7.0,19.0,14.0,6.0,32.0,15.0,768.0,2020_02,친환경
204,하이브리드(LPG+전기),소계,계,1904.0,827.0,965.0,783.0,699.0,559.0,535.0,181.0,3969.0,718.0,727.0,781.0,828.0,907.0,1083.0,1106.0,328.0,16900.0,2020_02,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,2020_02,친환경
255,수소,소계,계,599.0,671.0,7.0,289.0,485.0,207.0,1401.0,19.0,641.0,144.0,103.0,302.0,10.0,3.0,9.0,667.0,1.0,5558.0,2020_02,친환경
272,기타연료,소계,계,5894.0,15100.0,3492.0,11714.0,3184.0,2965.0,4673.0,750.0,22584.0,3242.0,5246.0,7341.0,4252.0,8447.0,9053.0,7558.0,730.0,116225.0,2020_02,비친환경
289,총계,소계,계,3123984.0,1398638.0,1191697.0,1635589.0,678442.0,675685.0,566679.0,165486.0,5780213.0,785806.0,840706.0,1123220.0,932211.0,1061661.0,1451298.0,1729944.0,602132.0,23743391.0,2020_02,비친환경
17,휘발유,소계,계,1611341.0,666768.0,563388.0,769553.0,297536.0,327015.0,281439.0,82610.0,2797873.0,335475.0,368600.0,484269.0,377770.0,399246.0,617986.0,813659.0,253396.0,11047924.0,2020_03,비친환경
34,경유,소계,계,1117351.0,560934.0,471687.0,674900.0,274023.0,260200.0,229019.0,63762.0,2398389.0,369319.0,383342.0,524358.0,438661.0,528910.0,668236.0,737292.0,255359.0,9955742.0,2020_03,비친환경
51,엘피지,소계,계,268770.0,119424.0,114004.0,134911.0,87228.0,69247.0,37928.0,12296.0,412550.0,60608.0,69538.0,86630.0,93978.0,105488.0,127647.0,138211.0,65764.0,2004222.0,2020_03,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2020_03,비친환경
85,전기,소계,계,17172.0,3624.0,11641.0,3270.0,2660.0,2865.0,1650.0,1017.0,14100.0,2640.0,2617.0,3281.0,2270.0,3893.0,4441.0,4295.0,18793.0,100229.0,2020_03,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020_03,비친환경
136,CNG,소계,계,9438.0,2960.0,2614.0,2759.0,1397.0,1668.0,822.0,163.0,9258.0,750.0,732.0,594.0,1045.0,1043.0,1137.0,1701.0,8.0,38089.0,2020_03,비친환경
153,LNG,소계,계,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2020_03,비친환경
170,하이브리드(휘발유+전기),소계,계,92623.0,28613.0,25965.0,41362.0,13104.0,12929.0,10277.0,5607.0,142640.0,13762.0,13961.0,17782.0,14500.0,15160.0,21071.0,27472.0,12947.0,509775.0,2020_03,친환경
187,하이브리드(경유+전기),소계,계,126.0,124.0,90.0,153.0,10.0,13.0,8.0,2.0,147.0,10.0,104.0,10.0,18.0,15.0,9.0,43.0,20.0,902.0,2020_03,친환경
204,하이브리드(LPG+전기),소계,계,1906.0,827.0,959.0,782.0,696.0,556.0,528.0,179.0,3979.0,716.0,722.0,774.0,831.0,908.0,1081.0,1092.0,328.0,16864.0,2020_03,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,2020_03,친환경
255,수소,소계,계,623.0,710.0,9.0,317.0,484.0,230.0,1438.0,19.0,859.0,263.0,108.0,315.0,16.0,15.0,9.0,709.0,1.0,6125.0,2020_03,친환경
272,기타연료,소계,계,5932.0,15122.0,3523.0,11810.0,3199.0,2993.0,4702.0,767.0,22722.0,3284.0,5252.0,7395.0,4302.0,8478.0,9070.0,7599.0,727.0,116877.0,2020_03,비친환경
289,총계,소계,계,3125333.0,1399109.0,1193893.0,1639859.0,680363.0,677716.0,567857.0,166449.0,5802596.0,786827.0,844979.0,1125409.0,933400.0,1063156.0,1450719.0,1732075.0,607343.0,23797083.0,2020_03,비친환경
17,휘발유,소계,계,1614843.0,669511.0,565380.0,779858.0,298794.0,328500.0,282607.0,82974.0,2815002.0,336852.0,370456.0,486967.0,379784.0,400482.0,619536.0,817003.0,249610.0,11098159.0,2020_04,비친환경
34,경유,소계,계,1115743.0,560673.0,471874.0,678149.0,273815.0,259074.0,228049.0,63783.0,2404021.0,369527.0,382374.0,521510.0,435780.0,528633.0,668065.0,737514.0,250780.0,9949364.0,2020_04,비친환경
51,엘피지,소계,계,267668.0,119520.0,113893.0,137040.0,87527.0,69440.0,37880.0,12246.0,413416.0,60553.0,69713.0,86834.0,94294.0,105551.0,127667.0,138352.0,63207.0,2004801.0,2020_04,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2020_04,비친환경
85,전기,소계,계,17622.0,3883.0,11878.0,3345.0,2710.0,2962.0,1738.0,1024.0,14546.0,2753.0,2939.0,3560.0,2467.0,4067.0,4682.0,4432.0,19092.0,103700.0,2020_04,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020_04,비친환경
136,CNG,소계,계,9417.0,2950.0,2590.0,2753.0,1397.0,1666.0,824.0,164.0,9275.0,745.0,731.0,587.0,1042.0,1042.0,1134.0,1705.0,8.0,38030.0,2020_04,비친환경
153,LNG,소계,계,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2020_04,비친환경
170,하이브리드(휘발유+전기),소계,계,94069.0,29222.0,26535.0,42921.0,13432.0,13336.0,10570.0,5753.0,146198.0,14065.0,14273.0,18223.0,14886.0,15542.0,21540.0,28188.0,12781.0,521534.0,2020_04,친환경
187,하이브리드(경유+전기),소계,계,196.0,186.0,124.0,370.0,17.0,19.0,10.0,3.0,213.0,19.0,113.0,20.0,40.0,26.0,14.0,59.0,27.0,1456.0,2020_04,친환경
204,하이브리드(LPG+전기),소계,계,1881.0,821.0,957.0,785.0,692.0,552.0,521.0,177.0,3976.0,710.0,727.0,776.0,839.0,907.0,1079.0,1090.0,332.0,16822.0,2020_04,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,2020_04,친환경
255,수소,소계,계,1049.0,742.0,9.0,334.0,479.0,249.0,1477.0,20.0,1028.0,331.0,110.0,337.0,95.0,19.0,11.0,743.0,0.0,7033.0,2020_04,친환경
272,기타연료,소계,계,5984.0,15158.0,3571.0,11868.0,3238.0,3039.0,4721.0,786.0,22936.0,3328.0,5321.0,7484.0,4337.0,8519.0,9149.0,7689.0,732.0,117860.0,2020_04,비친환경
289,총계,소계,계,3128523.0,1402669.0,1196824.0,1657465.0,682127.0,678837.0,568443.0,166957.0,5830690.0,788883.0,846760.0,1126299.0,933573.0,1064788.0,1452909.0,1736777.0,596569.0,23859093.0,2020_04,비친환경
17,휘발유,소계,계,1619511.0,672457.0,568233.0,783305.0,300184.0,330324.0,283679.0,83335.0,2831566.0,338753.0,372725.0,489573.0,381706.0,402955.0,621575.0,820593.0,253083.0,11153557.0,2020_05,비친환경
34,경유,소계,계,1114455.0,560548.0,468325.0,676627.0,272881.0,257623.0,227364.0,63497.0,2407106.0,370171.0,382144.0,521381.0,435453.0,529390.0,668411.0,737631.0,251428.0,9944435.0,2020_05,비친환경
51,엘피지,소계,계,266755.0,119393.0,113859.0,136456.0,87820.0,69483.0,37864.0,12233.0,413463.0,60538.0,69783.0,86929.0,94372.0,105523.0,127499.0,138313.0,63258.0,2003541.0,2020_05,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2020_05,비친환경
85,전기,소계,계,18098.0,3936.0,12160.0,3402.0,2745.0,3001.0,1774.0,1030.0,14876.0,2839.0,3077.0,3701.0,2561.0,4125.0,4818.0,4568.0,19388.0,106099.0,2020_05,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020_05,비친환경
136,CNG,소계,계,9398.0,2947.0,2581.0,2744.0,1391.0,1660.0,825.0,161.0,9250.0,742.0,734.0,590.0,1040.0,1042.0,1136.0,1698.0,7.0,37946.0,2020_05,비친환경
153,LNG,소계,계,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2020_05,비친환경
170,하이브리드(휘발유+전기),소계,계,95844.0,30122.0,27301.0,44565.0,13746.0,13823.0,10873.0,5939.0,149851.0,14383.0,14652.0,18679.0,15237.0,15997.0,21993.0,28936.0,13261.0,535202.0,2020_05,친환경
187,하이브리드(경유+전기),소계,계,274.0,262.0,161.0,591.0,31.0,32.0,18.0,7.0,277.0,24.0,129.0,39.0,59.0,34.0,21.0,80.0,33.0,2072.0,2020_05,친환경
204,하이브리드(LPG+전기),소계,계,1873.0,819.0,957.0,798.0,690.0,552.0,519.0,173.0,3960.0,703.0,719.0,775.0,843.0,902.0,1072.0,1090.0,334.0,16779.0,2020_05,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,2020_05,친환경
255,수소,소계,계,1078.0,752.0,9.0,340.0,478.0,285.0,1516.0,39.0,1064.0,382.0,115.0,333.0,136.0,21.0,11.0,755.0,0.0,7314.0,2020_05,친환경
272,기타연료,소계,계,6016.0,15166.0,3619.0,11915.0,3247.0,3084.0,4731.0,791.0,23161.0,3373.0,5391.0,7556.0,4374.0,8588.0,9228.0,7830.0,729.0,118799.0,2020_05,비친환경
289,총계,소계,계,3133353.0,1406405.0,1197218.0,1660785.0,683239.0,679867.0,569209.0,167232.0,5854653.0,791908.0,849472.0,1129557.0,935790.0,1068577.0,1455796.0,1741496.0,601521.0,23926078.0,2020_05,비친환경
17,휘발유,소계,계,1625652.0,676048.0,571733.0,787711.0,301730.0,332051.0,285011.0,83686.0,2851236.0,340986.0,375620.0,492744.0,383543.0,405940.0,623903.0,826019.0,256581.0,11220194.0,2020_06,비친환경
34,경유,소계,계,1113853.0,560737.0,467171.0,675597.0,272826.0,256601.0,227451.0,63367.0,2411874.0,371434.0,382794.0,522256.0,436014.0,531106.0,669553.0,738012.0,252027.0,9952673.0,2020_06,비친환경
51,엘피지,소계,계,265931.0,119284.0,113846.0,135664.0,88000.0,69523.0,37790.0,12180.0,413578.0,60491.0,69912.0,87225.0,94590.0,105594.0,127671.0,138509.0,63200.0,2002988.0,2020_06,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2020_06,비친환경
85,전기,소계,계,19411.0,4100.0,12356.0,3741.0,2844.0,3126.0,2110.0,1044.0,15946.0,2952.0,3199.0,3920.0,2745.0,4323.0,4980.0,4805.0,19705.0,111307.0,2020_06,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020_06,비친환경
136,CNG,소계,계,9377.0,2939.0,2579.0,2734.0,1371.0,1655.0,827.0,159.0,9196.0,734.0,736.0,589.0,1039.0,1046.0,1131.0,1679.0,8.0,37799.0,2020_06,비친환경
153,LNG,소계,계,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,2020_06,비친환경
170,하이브리드(휘발유+전기),소계,계,98057.0,31062.0,28117.0,46127.0,14220.0,14277.0,11246.0,6149.0,154214.0,14738.0,15063.0,19217.0,15598.0,16583.0,22515.0,29842.0,13746.0,550771.0,2020_06,친환경
187,하이브리드(경유+전기),소계,계,362.0,326.0,214.0,768.0,36.0,40.0,27.0,10.0,378.0,35.0,137.0,47.0,64.0,44.0,36.0,101.0,39.0,2664.0,2020_06,친환경
204,하이브리드(LPG+전기),소계,계,1870.0,818.0,956.0,794.0,689.0,541.0,516.0,173.0,3948.0,706.0,719.0,774.0,848.0,898.0,1072.0,1090.0,332.0,16744.0,2020_06,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,2020_06,친환경
255,수소,소계,계,1095.0,759.0,12.0,355.0,563.0,333.0,1530.0,37.0,1103.0,469.0,122.0,340.0,162.0,21.0,12.0,768.0,1.0,7682.0,2020_06,친환경
272,기타연료,소계,계,6051.0,15249.0,3665.0,11964.0,3250.0,3119.0,4753.0,791.0,23513.0,3409.0,5465.0,7660.0,4421.0,8657.0,9356.0,7863.0,740.0,119926.0,2020_06,비친환경
289,총계,소계,계,3141710.0,1411326.0,1200662.0,1665497.0,685555.0,681266.0,571307.0,167623.0,5885065.0,795954.0,853770.0,1134773.0,939033.0,1074212.0,1460261.0,1748690.0,606379.0,24023083.0,2020_06,비친환경
17,휘발유,소계,계,1629961.0,678548.0,573925.0,791236.0,302426.0,332862.0,285910.0,84130.0,2863055.0,342764.0,377456.0,494988.0,384690.0,408940.0,625367.0,829294.0,260527.0,11266079.0,2020_07,비친환경
34,경유,소계,계,1113145.0,560852.0,468566.0,675482.0,273389.0,257155.0,228357.0,63610.0,2414413.0,372639.0,382677.0,523229.0,436401.0,532361.0,670594.0,738581.0,252825.0,9964276.0,2020_07,비친환경
51,엘피지,소계,계,264958.0,119509.0,113749.0,135003.0,88039.0,69453.0,37711.0,12206.0,413056.0,60438.0,69997.0,87232.0,94601.0,105648.0,127597.0,137792.0,63427.0,2000416.0,2020_07,비친환경
