시도,지역구분,차종,민간공고대수,접수대수,출고대수,출고잔여대수
서울,서울특별시,승용,1211,1013,894,317
서울,서울특별시,승합,4,4,0,4
부산,부산광역시,승용,400,345,335,65
부산,부산광역시,승합,15,5,0,15
대구,대구광역시,전체,50,56,50,0
인천,인천광역시,승용,381,227,215,166
광주,광주광역시,전체,265,218,213,52
대전,대전광역시,승용,355,298,287,68
울산,울산광역시,승용,919,232,214,705
세종,세종특별자치시,승용,20,22,20,0
경기,수원시,승용,100,77,73,27
경기,성남시,승용,99,45,41,58
경기,의정부시,승용,5,5,5,0
경기,안양시,승용,20,21,20,0
경기,부천시,승용,50,32,31,19
경기,광명시,승용,19,13,13,6
경기,평택시,전체,240,95,84,156
경기,안산시,전체,49,42,41,8
경기,고양시,승용,66,51,47,19
경기,과천시,전체,4,4,3,1
경기,구리시,승용,10,10,8,2
경기,남양주시,전체,30,31,30,0
경기,오산시,승용,10,10,10,0
경기,시흥시,전체,17,17,17,0
경기,군포시,승용,10,10,9,1
경기,의왕시,승용,20,9,9,11
경기,하남시,승용,60,59,59,1
경기,용인시,전체,76,76,71,5
경기,파주시,전체,10,10,10,0
경기,이천시,승용,3,3,3,0
경기,안성시,승용,29,24,23,6
경기,김포시,전체,11,18,11,0
경기,화성시,승용,154,223,219,0
경기,광주시,승용,4,4,4,0
경기,양주시,승용,5,5,5,0
경기,여주시,전체,10,4,4,6
강원,춘천시,승용,346,347,346,0
강원,원주시,승용,50,50,50,0
강원,동해시,승용,10,10,10,0
강원,속초시,승용,127,104,90,37
강원,삼척시,승용,169,180,169,0
강원,횡성군,승용,40,28,28,12
강원,평창군,승용,2,3,2,0
강원,철원군,승용,5,5,5,0
강원,고성군,승용,4,4,4,0
충북,청주시,승용,287,134,131,156
충북,충주시,승용,100,34,34,66
충북,제천시,전체,100,6,6,94
충북,괴산군,승용,30,4,0,30
충북,음성군,승용,145,17,16,129
충남,천안시,승용,49,43,41,8
충남,공주시,승용,5,5,5,0
충남,보령시,승용,8,0,0,0
충남,아산시,전체,56,17,13,43
충남,서산시,전체,9,11,9,0
충남,논산시,승용,30,4,3,27
충남,계룡시,승용,3,3,3,0
충남,당진시,승용,27,5,5,22
충남,금산군,승용,4,0,0,0
충남,부여군,전체,3,3,3,0
충남,홍성군,전체,13,13,13,0
충남,태안군,승용,4,3,2,2
전북,전주시,승용,258,240,231,27
전북,익산시,전체,124,48,48,76
전북,완주군,전체,101,67,65,36
전북,부안군,승용,10,10,10,0
전남,여수시,승용,100,93,91,9
전남,나주시,승용,9,9,9,0
전남,해남군,승용,3,2,2,1
전남,무안군,승용,4,4,4,0
전남,장성군,승용,10,5,4,6
경남,창원시,승용,347,131,123,224
경남,통영시,승용,2,1,1,1
경남,김해시,승용,95,95,95,0
경남,거제시,승용,39,4,4,35
경남,양산시,전체,30,30,30,0
경남,함안군,승용,10,10,10,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,`,,,
