,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,year,month,Unnamed: 21,친환경
17,휘발유,소계,계,1601123.0,636859.0,552679.0,677742.0,286541.0,320686.0,275978.0,64818.0,2562362.0,314950.0,339975.0,454674.0,358981.0,368397.0,598456.0,779755.0,207147.0,10401123.0,2018,01,,비친환경
34,경유,소계,계,1136859.0,538031.0,460200.0,660178.0,263152.0,254574.0,222175.0,52545.0,2303023.0,355891.0,364982.0,500182.0,424469.0,502658.0,641333.0,718914.0,217145.0,9616311.0,2018,01,,비친환경
51,엘피지,소계,계,299911.0,125198.0,121930.0,144743.0,87606.0,72817.0,40089.0,10553.0,429061.0,64091.0,70805.0,87928.0,96251.0,107278.0,132145.0,144656.0,63020.0,2098082.0,2018,01,,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018,01,,비친환경
85,전기,소계,계,4851.0,825.0,2329.0,574.0,577.0,301.0,373.0,99.0,2454.0,491.0,311.0,387.0,351.0,1017.0,826.0,1057.0,9589.0,26412.0,2018,01,,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,01,,비친환경
119,태양열,소계,계,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,01,,비친환경
136,CNG,소계,계,9722.0,3149.0,2674.0,2810.0,1490.0,1724.0,829.0,60.0,9025.0,913.0,730.0,583.0,1073.0,1100.0,1224.0,1830.0,16.0,38952.0,2018,01,,비친환경
153,LNG,소계,계,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2018,01,,비친환경
170,하이브리드(휘발유+전기),소계,계,58570.0,17527.0,16146.0,20681.0,8179.0,7957.0,6410.0,2682.0,82240.0,8417.0,8312.0,10976.0,8834.0,8849.0,12981.0,17463.0,6539.0,302763.0,2018,01,,친환경
